-2.0000	-3.3891
-1.9000	-3.0759
-1.8000	-2.8096
-1.7000	-2.5839
-1.6000	-2.3930
-1.5000	-2.2317
-1.4000	-2.0952
-1.3000	-1.9793
-1.2000	-1.8801
-1.1000	-1.7942
-1.0000	-1.7183
-0.9000	-1.6496
-0.8000	-1.5855
-0.7000	-1.5238
-0.6000	-1.4621
-0.5000	-1.3987
-0.4000	-1.3318
-0.3000	-1.2599
-0.2000	-1.1814
-0.1000	-1.0952
0.0000	-1.0000
0.1000	-0.8948
0.2000	-0.7787
0.3000	-0.6508
0.4000	-0.5103
0.5000	-0.3565
0.6000	-0.1888
0.7000	-0.0066
0.8000	0.1907
0.9000	0.4034
1.0000	0.6321
1.1000	0.8771
1.2000	1.1388
1.3000	1.4175
1.4000	1.7134
1.5000	2.0269
1.6000	2.3581
1.7000	2.7073
1.8000	3.0747
1.9000	3.4604
